,0_novo,1_novo,2,3_novo,4_novo,5_novo,0_velho,1_velho,3_velho,4_velho,5_velho
71,6143,6,008172-8,A1 Sport 1.4 TFSI 185cv 3p S-tronic,,,6143.0,6.0,A1 Sport 1.4 TFSI 185cv 3p S-tronic,Dezembro/2019,A1
72,7727,6,008210-4,A1 Sport. S Edition 1.4 TFSI 5p S-tronic,,,7727.0,6.0,A1 Sport. S Edition 1.4 TFSI 5p S-tronic,Dezembro/2019,A1
73,6201,6,008174-4,A1 Sportback 1.4 TFSI 185cv 5p S-tronic,,,6201.0,6.0,A1 Sportback 1.4 TFSI 185cv 5p S-tronic,Dezembro/2019,A1
74,6200,6,008173-6,A1 Sportback 1.4 TFSI 5p S-tronic,,,6200.0,6.0,A1 Sportback 1.4 TFSI 5p S-tronic,Dezembro/2019,A1
75,7418,6,008204-0,A1 Sportback 1.8 TFSI 192cv 5p S-tronic,,,7418.0,6.0,A1 Sportback 1.8 TFSI 192cv 5p S-tronic,Dezembro/2019,A1
76,52,6,008032-2,A3 1.6 3p,,,52.0,6.0,A3 1.6 3p,Dezembro/2019,A3
77,53,6,008056-0,A3 1.6 3p Aut.,,,53.0,6.0,A3 1.6 3p Aut.,Dezembro/2019,A3
78,54,6,008040-3,A3 1.6 5p,,,54.0,6.0,A3 1.6 5p,Dezembro/2019,A3
79,55,6,008057-8,A3 1.6 5p Aut.,,,55.0,6.0,A3 1.6 5p Aut.,Dezembro/2019,A3
80,4154,6,008116-7,A3 1.6 8V 102cv 3p,,,4154.0,6.0,A3 1.6 8V 102cv 3p,Dezembro/2019,A3
81,56,6,008005-5,A3 1.8 3p,,,56.0,6.0,A3 1.8 3p,Dezembro/2019,A3
82,57,6,008043-8,A3 1.8 3p Aut.,,,57.0,6.0,A3 1.8 3p Aut.,Dezembro/2019,A3
83,58,6,008042-0,A3 1.8 5p Aut.,,,58.0,6.0,A3 1.8 5p Aut.,Dezembro/2019,A3
84,59,6,008041-1,A3 1.8 5p Mec.,,,59.0,6.0,A3 1.8 5p Mec.,Dezembro/2019,A3
85,60,6,008073-0,A3 1.8 Turbo 180cv 3p Aut./ Tip.,,,60.0,6.0,A3 1.8 Turbo 180cv 3p Aut./ Tip.,Dezembro/2019,A3
86,61,6,008074-8,A3 1.8 Turbo 180cv 3p Mec.,,,61.0,6.0,A3 1.8 Turbo 180cv 3p Mec.,Dezembro/2019,A3
87,62,6,008071-3,A3 1.8 Turbo 180cv 5p Aut./ Tip.,,,62.0,6.0,A3 1.8 Turbo 180cv 5p Aut./ Tip.,Dezembro/2019,A3
88,63,6,008072-1,A3 1.8 Turbo 180cv 5p Mec.,,,63.0,6.0,A3 1.8 Turbo 180cv 5p Mec.,Dezembro/2019,A3
89,64,6,008046-2,A3 1.8 Turbo 3p Aut.,,,64.0,6.0,A3 1.8 Turbo 3p Aut.,Dezembro/2019,A3
90,65,6,008006-3,A3 1.8 Turbo 3p Mec.,,,65.0,6.0,A3 1.8 Turbo 3p Mec.,Dezembro/2019,A3
91,66,6,008045-4,A3 1.8 Turbo 5p Aut.,,,66.0,6.0,A3 1.8 Turbo 5p Aut.,Dezembro/2019,A3
92,67,6,008044-6,A3 1.8 Turbo 5p Mec.,,,67.0,6.0,A3 1.8 Turbo 5p Mec.,Dezembro/2019,A3
93,6950,6,008195-7,A3 Cabriolet 1.8 16V TFSI 180cv S-tronic,,,6950.0,6.0,A3 Cabriolet 1.8 16V TFSI 180cv S-tronic,Dezembro/2019,A3
94,8227,6,008223-6,A3 Cabriolet Ambition 2.0 TFSI S-tronic,,,8227.0,6.0,A3 Cabriolet Ambition 2.0 TFSI S-tronic,Dezembro/2019,A3
95,8559,6,008236-8,A3 Cabriolet Perfor. 2.0 TFSI S-tronic,,,8559.0,6.0,A3 Cabriolet Perfor. 2.0 TFSI S-tronic,Dezembro/2019,A3
96,7419,6,008205-8,A3 Sed. Ambition 2.0 TSFI 220cv S-tronic,,,7419.0,6.0,A3 Sed. Ambition 2.0 TSFI 220cv S-tronic,Dezembro/2019,A3
97,8945,6,008255-4,A3 Sed. P. Plus Tech 1.4 Flex TFSI Tip.,,,,,,,
98,8768,6,008252-0,A3 Sed. P.Plus 1.4 25Anos Flex TFSI Tip.,,,8768.0,6.0,A3 Sed. P.Plus 1.4 25Anos Flex TFSI Tip.,Dezembro/2019,A3
99,6689,6,008190-6,A3 Sed.1.8/1.8 Ambit.16V TB FSI S-tronic,,,6689.0,6.0,A3 Sed.1.8/1.8 Ambit.16V TB FSI S-tronic,Dezembro/2019,A3
100,7391,6,008203-1,A3 Sedan 1.4 TFSI Flex Tiptronic 4p,,,7391.0,6.0,A3 Sedan 1.4 TFSI Flex Tiptronic 4p,Dezembro/2019,A3
101,6768,6,008192-2,A3 Sedan 1.4/ Attra. 16V TB FSI S-tronic,,,6768.0,6.0,A3 Sedan 1.4/ Attra. 16V TB FSI S-tronic,Dezembro/2019,A3
102,8560,6,008237-6,A3 Sedan Performance 2.0 TFSI S-tronic,,,8560.0,6.0,A3 Sedan Performance 2.0 TFSI S-tronic,Dezembro/2019,A3
103,8561,6,008234-1,A3 Sedan Prestige 1.4 TFSI Flex Tip.,,,8561.0,6.0,A3 Sedan Prestige 1.4 TFSI Flex Tip.,Dezembro/2019,A3
104,8562,6,008235-0,A3 Sedan Prestige Plus 1.4 TFSI Flex Tip,,,8562.0,6.0,A3 Sedan Prestige Plus 1.4 TFSI Flex Tip,Dezembro/2019,A3
105,6461,6,008181-7,A3 Sport 1.8 16V TFSI S-tronic 3p,,,6461.0,6.0,A3 Sport 1.8 16V TFSI S-tronic 3p,Dezembro/2019,A3
106,5125,6,008138-8,A3 Sport 2.0 16V TFSI S- tronic,,,5125.0,6.0,A3 Sport 2.0 16V TFSI S- tronic,Dezembro/2019,A3
107,8563,6,008233-3,A3 Sportb. Prestige Plus 1.4 TFSI S-tron,,,8563.0,6.0,A3 Sportb. Prestige Plus 1.4 TFSI S-tron,Dezembro/2019,A3
108,6510,6,008184-1,A3 Sportback 1.4 TFSI S-tronic,,,6510.0,6.0,A3 Sportback 1.4 TFSI S-tronic,Dezembro/2019,A3
109,4155,6,008117-5,A3 Sportback 1.6 8V 102cv 5p,,,4155.0,6.0,A3 Sportback 1.6 8V 102cv 5p,Dezembro/2019,A3
110,6511,6,008185-0,A3 Sportback 1.8 16V TFSI S-tronic 5p,,,6511.0,6.0,A3 Sportback 1.8 16V TFSI S-tronic 5p,Dezembro/2019,A3
111,4156,6,008118-3,A3 Sportback 2.0 16V TFSI Mec.,,,4156.0,6.0,A3 Sportback 2.0 16V TFSI Mec.,Dezembro/2019,A3
112,4157,6,008119-1,A3 Sportback 2.0 16V TFSI S-tronic,,,4157.0,6.0,A3 Sportback 2.0 16V TFSI S-tronic,Dezembro/2019,A3
113,68,6,008047-0,A4 1.8  Aut.,,,68.0,6.0,A4 1.8  Aut.,Dezembro/2019,A4
114,69,6,008007-1,A4 1.8  Mec.,,,69.0,6.0,A4 1.8  Mec.,Dezembro/2019,A4
115,70,6,008048-9,A4 1.8 Avant Aut.,,,70.0,6.0,A4 1.8 Avant Aut.,Dezembro/2019,A4
116,71,6,008009-8,A4 1.8 Avant Mec.,,,71.0,6.0,A4 1.8 Avant Mec.,Dezembro/2019,A4
