,0_novo,1_novo,2,3_novo,4_novo,5_novo,0_velho,1_velho,3_velho,4_velho,5_velho
2326,1158,23,004178-5,S10 Pick-Up Std 2.8 4x2 CD TB Int.Dies.,,,1158.0,23.0,S10 Pick-Up Std 2.8 4x2 CD TB Int.Dies.,Dezembro/2019,S10
2327,1159,23,004179-3,S10 Pick-Up Std 2.8 4x4 CD TB Int.Dies.,,,1159.0,23.0,S10 Pick-Up Std 2.8 4x4 CD TB Int.Dies.,Dezembro/2019,S10
2328,1160,23,004012-6,S10 Pick-Up Std. 2.2 MPFI / EFI,,,1160.0,23.0,S10 Pick-Up Std. 2.2 MPFI / EFI,Dezembro/2019,S10
2329,1161,23,004092-4,S10 Pick-Up Std. 2.2 MPFI CD,,,1161.0,23.0,S10 Pick-Up Std. 2.2 MPFI CD,Dezembro/2019,S10
2330,1162,23,004057-6,S10 Pick-Up Std. 2.5 Diesel Turbo,,,1162.0,23.0,S10 Pick-Up Std. 2.5 Diesel Turbo,Dezembro/2019,S10
2331,1163,23,004303-6,S10 Pick-Up Tornado 2.4 MPFI 128cv CD 4p,,,1163.0,23.0,S10 Pick-Up Tornado 2.4 MPFI 128cv CD 4p,Dezembro/2019,S10
2332,1164,23,004175-0,S10 P-Up 2.8/Sert. 2.8 4x4 TB Int. Dies.,,,1164.0,23.0,S10 P-Up 2.8/Sert. 2.8 4x4 TB Int. Dies.,Dezembro/2019,S10
2333,1165,23,004322-2,S10 P-Up Advant. 2.4/2.4 MPFI F.Power CD,,,1165.0,23.0,S10 P-Up Advant. 2.4/2.4 MPFI F.Power CD,Dezembro/2019,S10
2334,4675,23,004349-4,S10 P-Up Advantage 2.4 MPFI F.Power CS,,,4675.0,23.0,S10 P-Up Advantage 2.4 MPFI F.Power CS,Dezembro/2019,S10
2335,1142,23,004302-8,S10 P-Up Colina 2.4 MPFI 128cv CD 4p,,,1142.0,23.0,S10 P-Up Colina 2.4 MPFI 128cv CD 4p,Dezembro/2019,S10
2336,1141,23,004311-7,S10 P-Up Colina 2.4/2.4 MPFI F.Power CS,,,1141.0,23.0,S10 P-Up Colina 2.4/2.4 MPFI F.Power CS,Dezembro/2019,S10
2337,1166,23,004304-4,S10 P-Up Colina 2.8 TDI 4x2/4x4 CD Dies.,,,1166.0,23.0,S10 P-Up Colina 2.8 TDI 4x2/4x4 CD Dies.,Dezembro/2019,S10
2338,1143,23,004301-0,S10 P-Up Colina 2.8 TDI 4x2/4x4 CS Dies.,,,1143.0,23.0,S10 P-Up Colina 2.8 TDI 4x2/4x4 CS Dies.,Dezembro/2019,S10
2339,4676,23,004350-8,S10 P-Up Executive 2.4 MPFI F.Power CD,,,4676.0,23.0,S10 P-Up Executive 2.4 MPFI F.Power CD,Dezembro/2019,S10
2340,7304,23,004465-2,S10 P-Up Freeride 2.5 Flex 4x2 CD Mec.,,,7304.0,23.0,S10 P-Up Freeride 2.5 Flex 4x2 CD Mec.,Dezembro/2019,S10
2341,7305,23,004464-4,S10 P-Up H.Country 2.8 4x4 CD Dies.Aut.,,,7305.0,23.0,S10 P-Up H.Country 2.8 4x4 CD Dies.Aut.,Dezembro/2019,S10
2342,1167,23,004060-6,S10 P-Up Luxe 2.5 4x2 CD TB Max HST Dies,,,1167.0,23.0,S10 P-Up Luxe 2.5 4x2 CD TB Max HST Dies,Dezembro/2019,S10
2343,1168,23,004145-9,S10 P-Up Luxe 2.5 4x4 CD TB Max HST Dies,,,1168.0,23.0,S10 P-Up Luxe 2.5 4x4 CD TB Max HST Dies,Dezembro/2019,S10
2344,1169,23,004177-7,S10 P-Up Lx/Sert/Rod 2.8 4x4 CD TDI Dies,,,1169.0,23.0,S10 P-Up Lx/Sert/Rod 2.8 4x4 CD TDI Dies,Dezembro/2019,S10
2345,1170,23,004305-2,S10 P-Up Tornado 2.8 TDI 4x2/4x4 CD Dies,,,1170.0,23.0,S10 P-Up Tornado 2.8 TDI 4x2/4x4 CD Dies,Dezembro/2019,S10
2346,1171,23,004106-8,Saturn SL,,,1171.0,23.0,Saturn SL,Dezembro/2019,Saturn
2347,1172,23,004164-5,Sierra CE 5.7 V8,,,1172.0,23.0,Sierra CE 5.7 V8,Dezembro/2019,Sierra
2348,1173,23,004165-3,Sierra Sport 5.0 V8,,,1173.0,23.0,Sierra Sport 5.0 V8,Dezembro/2019,Sierra
2349,1174,23,004076-2,Silverado,,,1174.0,23.0,Silverado,Dezembro/2019,Silverado
2350,1175,23,004094-0,Silverado 4.1,,,1175.0,23.0,Silverado 4.1,Dezembro/2019,Silverado
2351,1176,23,004095-9,Silverado 4.1 Diesel,,,1176.0,23.0,Silverado 4.1 Diesel,Dezembro/2019,Silverado
2352,1177,23,004096-7,Silverado 4.2 Turbo Diesel,,,1177.0,23.0,Silverado 4.2 Turbo Diesel,Dezembro/2019,Silverado
2353,1178,23,004109-2,Silverado Conquest 4.1 Diesel,,,1178.0,23.0,Silverado Conquest 4.1 Diesel,Dezembro/2019,Silverado
2354,1179,23,004110-6,Silverado Conquest 4.2 Diesel Turbo,,,1179.0,23.0,Silverado Conquest 4.2 Diesel Turbo,Dezembro/2019,Silverado
2355,1180,23,004196-3,Silverado D20/ Rodeio 4.2 TB Diesel,,,1180.0,23.0,Silverado D20/ Rodeio 4.2 TB Diesel,Dezembro/2019,Silverado
2356,1181,23,004097-5,Silverado DLX 4.1,,,1181.0,23.0,Silverado DLX 4.1,Dezembro/2019,Silverado
2357,1182,23,004180-7,Silverado DLX 4.2 Conquest HD Diesel,,,1182.0,23.0,Silverado DLX 4.2 Conquest HD Diesel,Dezembro/2019,Silverado
2358,1183,23,004098-3,Silverado DLX 4.2 Diesel,,,1183.0,23.0,Silverado DLX 4.2 Diesel,Dezembro/2019,Silverado
2359,1184,23,004089-4,Silverado G. Blazer DLX/ Std 4.2 Dies.TB,,,1184.0,23.0,Silverado G. Blazer DLX/ Std 4.2 Dies.TB,Dezembro/2019,Silverado
2360,1185,23,004088-6,Silverado Grand Blazer DLX 4.1 mpfi,,,1185.0,23.0,Silverado Grand Blazer DLX 4.1 mpfi,Dezembro/2019,Silverado
2361,1186,23,004151-3,Silverado Sport/ Fleet Side 5.7 CS,,,1186.0,23.0,Silverado Sport/ Fleet Side 5.7 CS,Dezembro/2019,Silverado
2362,1187,23,004152-1,Silverado Sport/Fleet Side 6.5 Dies. CS,,,1187.0,23.0,Silverado Sport/Fleet Side 6.5 Dies. CS,Dezembro/2019,Silverado
2363,1188,23,004214-5,Silverado Trop. SL/ Van T.Diesel (todas),,,1188.0,23.0,Silverado Trop. SL/ Van T.Diesel (todas),Dezembro/2019,Silverado
2364,1189,23,004149-1,Silverado Tropical CD 4.1 Diesel,,,1189.0,23.0,Silverado Tropical CD 4.1 Diesel,Dezembro/2019,Silverado
2365,1190,23,004148-3,Silverado Tropical CD 4.1 MPFI,,,1190.0,23.0,Silverado Tropical CD 4.1 MPFI,Dezembro/2019,Silverado
2366,1191,23,004150-5,Silverado Tropical CD 4.2 Diesel,,,1191.0,23.0,Silverado Tropical CD 4.2 Diesel,Dezembro/2019,Silverado
2367,6266,23,004428-8,SONIC HB LT 1.6 16V FlexPower 5p Aut.,,,6266.0,23.0,SONIC HB LT 1.6 16V FlexPower 5p Aut.,Dezembro/2019,SONIC
2368,6059,23,004402-4,SONIC HB LT 1.6 16V FlexPower 5p Mec.,,,6059.0,23.0,SONIC HB LT 1.6 16V FlexPower 5p Mec.,Dezembro/2019,SONIC
2369,6060,23,004404-0,SONIC HB LTZ 1.6 16V FlexPower 5p Aut.,,,6060.0,23.0,SONIC HB LTZ 1.6 16V FlexPower 5p Aut.,Dezembro/2019,SONIC
2370,6061,23,004403-2,SONIC HB LTZ 1.6 16V FlexPower 5p Mec.,,,6061.0,23.0,SONIC HB LTZ 1.6 16V FlexPower 5p Mec.,Dezembro/2019,SONIC
2371,6640,23,004448-2,SONIC HB LTZ EFFECT 1.6 16V FlexP 5p Aut,,,6640.0,23.0,SONIC HB LTZ EFFECT 1.6 16V FlexP 5p Aut,Dezembro/2019,SONIC
2372,6267,23,004429-6,SONIC Sed. LT 1.6 16V FlexPower 4p Aut.,,,6267.0,23.0,SONIC Sed. LT 1.6 16V FlexPower 4p Aut.,Dezembro/2019,SONIC
2373,6062,23,004405-9,SONIC Sed. LT 1.6 16V FlexPower 4p Mec.,,,6062.0,23.0,SONIC Sed. LT 1.6 16V FlexPower 4p Mec.,Dezembro/2019,SONIC
2374,6063,23,004407-5,SONIC Sed. LTZ 1.6 16V FlexPower 4p Aut.,,,6063.0,23.0,SONIC Sed. LTZ 1.6 16V FlexPower 4p Aut.,Dezembro/2019,SONIC
2375,6064,23,004406-7,SONIC Sed. LTZ 1.6 16V FlexPower 4p Mec.,,,6064.0,23.0,SONIC Sed. LTZ 1.6 16V FlexPower 4p Mec.,Dezembro/2019,SONIC
2376,1192,23,004166-1,Sonoma CE 4.3 V6,,,1192.0,23.0,Sonoma CE 4.3 V6,Dezembro/2019,Sonoma
2377,1193,23,004107-6,SpaceVan Furgão 2.1 Diesel,,,1193.0,23.0,SpaceVan Furgão 2.1 Diesel,Dezembro/2019,SpaceVan
2378,1194,23,004099-1,SpaceVan Furgão 2.2,,,1194.0,23.0,SpaceVan Furgão 2.2,Dezembro/2019,SpaceVan
2379,1195,23,004101-7,SpaceVan Passageiro 2.1Diesel,,,1195.0,23.0,SpaceVan Passageiro 2.1Diesel,Dezembro/2019,SpaceVan
2380,1196,23,004100-9,SpaceVan Passageiro 2.2,,,1196.0,23.0,SpaceVan Passageiro 2.2,Dezembro/2019,SpaceVan
2381,7098,23,004458-0,SPIN ACTIV 1.8 8V Econo. Flex 5p Aut.,,,7098.0,23.0,SPIN ACTIV 1.8 8V Econo. Flex 5p Aut.,Dezembro/2019,SPIN
2382,7099,23,004459-8,SPIN ACTIV 1.8 8V Econo. Flex 5p Mec.,,,7099.0,23.0,SPIN ACTIV 1.8 8V Econo. Flex 5p Mec.,Dezembro/2019,SPIN
2383,8450,23,004490-3,SPIN ACTIV7 1.8 8V Econo.Flex 5p Aut.,,,8450.0,23.0,SPIN ACTIV7 1.8 8V Econo.Flex 5p Aut.,Dezembro/2019,SPIN
2384,6586,23,004441-5,SPIN ADVANTAGE 1.8 8V Econo.Flex 5p Aut.,,,6586.0,23.0,SPIN ADVANTAGE 1.8 8V Econo.Flex 5p Aut.,Dezembro/2019,SPIN
2385,6587,23,004440-7,SPIN ADVANTAGE 1.8 8V Econo.Flex 5p Mec.,,,6587.0,23.0,SPIN ADVANTAGE 1.8 8V Econo.Flex 5p Mec.,Dezembro/2019,SPIN
2386,6490,23,004435-0,SPIN LS 1.8 8V Econo.Flex 5p Mec.,,,6490.0,23.0,SPIN LS 1.8 8V Econo.Flex 5p Mec.,Dezembro/2019,SPIN
2387,6103,23,004415-6,SPIN LT 1.8 8V Econo.Flex 5p Aut.,,,6103.0,23.0,SPIN LT 1.8 8V Econo.Flex 5p Aut.,Dezembro/2019,SPIN
2388,6104,23,004414-8,SPIN LT 1.8 8V Econo.Flex 5p Mec.,,,6104.0,23.0,SPIN LT 1.8 8V Econo.Flex 5p Mec.,Dezembro/2019,SPIN
2389,6105,23,004417-2,SPIN LTZ 1.8 8V Econo.Flex 5p Aut.,,,6105.0,23.0,SPIN LTZ 1.8 8V Econo.Flex 5p Aut.,Dezembro/2019,SPIN
2390,6106,23,004416-4,SPIN LTZ 1.8 8V Econo.Flex 5p Mec.,,,6106.0,23.0,SPIN LTZ 1.8 8V Econo.Flex 5p Mec.,Dezembro/2019,SPIN
2391,8691,23,004494-6,SPIN PREMIER 1.8 8V Econo.Flex 5p Aut.,,,8691.0,23.0,SPIN PREMIER 1.8 8V Econo.Flex 5p Aut.,Dezembro/2019,SPIN PREMIER
2392,8692,23,004495-4,SPIN PREMIER 1.8 8V Econo.Flex 5p Mec.,,,8692.0,23.0,SPIN PREMIER 1.8 8V Econo.Flex 5p Mec.,Dezembro/2019,SPIN PREMIER
2393,1197,23,004163-7,SS10 Pick-Up 4.3 V6,,,1197.0,23.0,SS10 Pick-Up 4.3 V6,Dezembro/2019,SS10
2394,1198,23,004153-0,Suburban 5.7/6.5 V8/5.3 V8,,,1198.0,23.0,Suburban 5.7/6.5 V8/5.3 V8,Dezembro/2019,Suburban
2395,1199,23,004064-9,Suprema CD 4.1 / 3.0,,,1199.0,23.0,Suprema CD 4.1 / 3.0,Dezembro/2019,Suprema
2396,1200,23,004108-4,Suprema Diamond,,,1200.0,23.0,Suprema Diamond,Dezembro/2019,Suprema
2397,1201,23,004061-4,Suprema GL 2.0,,,1201.0,23.0,Suprema GL 2.0,Dezembro/2019,Suprema
2398,1202,23,004062-2,Suprema GLS 2.2 / 2.0,,,1202.0,23.0,Suprema GLS 2.2 / 2.0,Dezembro/2019,Suprema
2399,1203,23,004063-0,Suprema GLS 4.1,,,1203.0,23.0,Suprema GLS 4.1,Dezembro/2019,Suprema
2400,1204,23,004167-0,Syclone 5.7 V8,,,1204.0,23.0,Syclone 5.7 V8,Dezembro/2019,Syclone
2401,1205,23,004102-5,Tigra 1.6 16V,,,1205.0,23.0,Tigra 1.6 16V,Dezembro/2019,Tigra
2402,1206,23,004123-8,Tigra Power Tech Coupe 1.6 SFI,,,1206.0,23.0,Tigra Power Tech Coupe 1.6 SFI,Dezembro/2019,Tigra
2403,4240,23,004334-6,TRACKER 2.0 16v 128cv MPFI 4x4 5p,,,4240.0,23.0,TRACKER 2.0 16v 128cv MPFI 4x4 5p,Dezembro/2019,TRACKER
2404,1207,23,004210-2,TRACKER 2.0 TB Int. Diesel 4x4 4p,,,1207.0,23.0,TRACKER 2.0 TB Int. Diesel 4x4 4p,Dezembro/2019,TRACKER
2405,6664,23,004449-0,TRACKER Freeride 1.8 16V Flex 4x2 Mec.,,,6664.0,23.0,TRACKER Freeride 1.8 16V Flex 4x2 Mec.,Dezembro/2019,TRACKER
2406,7792,23,004476-8,TRACKER LT 1.4 Turbo 16V Flex 4x2 Aut.,,,7792.0,23.0,TRACKER LT 1.4 Turbo 16V Flex 4x2 Aut.,Dezembro/2019,TRACKER
2407,7428,23,004467-9,TRACKER LT 1.8 16V Flex 4x2 Aut.,,,7428.0,23.0,TRACKER LT 1.8 16V Flex 4x2 Aut.,Dezembro/2019,TRACKER
2408,7793,23,004477-6,TRACKER LTZ 1.4 Turbo 16V Flex 4x2 Aut.,,,7793.0,23.0,TRACKER LTZ 1.4 Turbo 16V Flex 4x2 Aut.,Dezembro/2019,TRACKER
2409,6612,23,004444-0,TRACKER LTZ 1.8 16V Flex 4x2 Aut.,,,6612.0,23.0,TRACKER LTZ 1.8 16V Flex 4x2 Aut.,Dezembro/2019,TRACKER
2410,8519,23,004491-1,TRACKER Midnight 1.4 Turbo Flex Aut.,,,8519.0,23.0,TRACKER Midnight 1.4 Turbo Flex Aut.,Dezembro/2019,TRAKKER
2411,8124,23,004486-5,TRACKER Premier 1.4 Turbo 16V Flex Aut,,,8124.0,23.0,TRACKER Premier 1.4 Turbo 16V Flex Aut,Dezembro/2019,TRACKER
2412,1208,23,004077-0,Trafic Chassi Longo Diesel,,,1208.0,23.0,Trafic Chassi Longo Diesel,Dezembro/2019,Trafic
2413,1209,23,004078-9,Trafic Furgão Carga 2.1 Diesel,,,1209.0,23.0,Trafic Furgão Carga 2.1 Diesel,Dezembro/2019,Trafic
2414,1210,23,004188-2,Trafic Furgao Carga 2.2,,,1210.0,23.0,Trafic Furgao Carga 2.2,Dezembro/2019,Trafic
2415,1211,23,004079-7,Trafic Passageiros 2.1 Diesel,,,1211.0,23.0,Trafic Passageiros 2.1 Diesel,Dezembro/2019,Trafic
2416,1212,23,004189-0,Trafic Passageiros 2.2,,,1212.0,23.0,Trafic Passageiros 2.2,Dezembro/2019,Trafic
2417,6268,23,004431-8,TRAILBLAZER LTZ 2.8 CTDI Diesel Aut.,,,6268.0,23.0,TRAILBLAZER LTZ 2.8 CTDI Diesel Aut.,Dezembro/2019,TRAILBLAZER
2418,6269,23,004430-0,TRAILBLAZER LTZ 3.6 V6  Aut.,,,6269.0,23.0,TRAILBLAZER LTZ 3.6 V6  Aut.,Dezembro/2019,TRAILBLAZER
2419,8747,23,004498-9,TRAILBLAZER PREMIER 2.8 TB Diesel Aut.,,,8747.0,23.0,TRAILBLAZER PREMIER 2.8 TB Diesel Aut.,Dezembro/2019,TRAILBLAZER
2420,8748,23,004497-0,TRAILBLAZER PREMIER 3.6 V6 Aut.,,,8748.0,23.0,TRAILBLAZER PREMIER 3.6 V6 Aut.,Dezembro/2019,TRAILBLAZER
2421,1213,23,004068-1,Vectra CD 2.0 (modelo antigo),,,1213.0,23.0,Vectra CD 2.0 (Modelo antigo),Dezembro/2019,Vectra
2422,1214,23,004067-3,Vectra CD 2.2 16V / 2.0 16V Mec./Aut.,,,1214.0,23.0,Vectra CD 2.2 16V / 2.0 16V Mec./Aut.,Dezembro/2019,Vectra
2423,5554,23,004378-8,Vectra COLLECTION 2.0 FlexPower 8V Aut.,,,5554.0,23.0,Vectra COLLECTION 2.0 FlexPower 8V Aut.,Dezembro/2019,Vectra
2424,1215,23,004295-1,Vectra Comfort 2.0 MPFI,,,1215.0,23.0,Vectra Comfort 2.0 MPFI,Dezembro/2019,Vectra
2425,3820,23,004324-9,Vectra Elegan. 2.0 MPFI 8V FlexPower Aut,,,3820.0,23.0,Vectra Elegan. 2.0 MPFI 8V FlexPower Aut,Dezembro/2019,Vectra
2426,3821,23,004323-0,Vectra Elegan. 2.0 MPFI 8V FlexPower Mec,,,3821.0,23.0,Vectra Elegan. 2.0 MPFI 8V FlexPower Mec,Dezembro/2019,Vectra
2427,1216,23,004296-0,Vectra Elegance 2.0 MPFI,,,1216.0,23.0,Vectra Elegance 2.0 MPFI,Dezembro/2019,Vectra
2428,1217,23,004298-6,Vectra Elegance 2.2 MPFI 16V Aut.,,,1217.0,23.0,Vectra Elegance 2.2 MPFI 16V Aut.,Dezembro/2019,Vectra
2429,1218,23,004297-8,Vectra Elite 2.0 MPFI,,,1218.0,23.0,Vectra Elite 2.0 MPFI,Dezembro/2019,Vectra
2430,4576,23,004348-6,Vectra Elite 2.0 MPFI 8V FlexPower Aut.,,,4576.0,23.0,Vectra Elite 2.0 MPFI 8V FlexPower Aut.,Dezembro/2019,Vectra
2431,1219,23,004299-4,Vectra Elite 2.2 MPFI 16V Aut.,,,1219.0,23.0,Vectra Elite 2.2 MPFI 16V Aut.,Dezembro/2019,Vectra
2432,3822,23,004325-7,Vectra Elite 2.4 MPFI 16V FlexPower Aut.,,,3822.0,23.0,Vectra Elite 2.4 MPFI 16V FlexPower Aut.,Dezembro/2019,Vectra
2433,1220,23,004243-9,Vectra Expres./ Collection  2.0 MPFI 8V,,,1220.0,23.0,Vectra Expres./ Collection  2.0 MPFI 8V,Dezembro/2019,Vectra
2434,4273,23,004337-0,Vectra EXPRESSION 2.0 MPFI FlexPower Aut,,,4273.0,23.0,Vectra EXPRESSION 2.0 MPFI FlexPower Aut,Dezembro/2019,Vectra
2435,4274,23,004336-2,Vectra EXPRESSION 2.0 MPFI FlexPower Mec,,,4274.0,23.0,Vectra EXPRESSION 2.0 MPFI FlexPower Mec,Dezembro/2019,Vectra
2436,1221,23,004065-7,Vectra GL 2.2 / 2.0 MPFI,,,1221.0,23.0,Vectra GL 2.2 / 2.0 MPFI,Dezembro/2019,Vectra
2437,1222,23,004181-5,Vectra GL 2.2 MPFI Milenium,,,1222.0,23.0,Vectra GL 2.2 MPFI Milenium,Dezembro/2019,Vectra
2438,1223,23,004182-3,Vectra GLS/ Challenge 2.2 MPFI 16V,,,1223.0,23.0,Vectra GLS/ Challenge 2.2 MPFI 16V,Dezembro/2019,Vectra
2439,1224,23,004066-5,Vectra GLS/Expres.2.2/ 2.0 e 2.0 CD 8V,,,1224.0,23.0,Vectra GLS/Expres.2.2/ 2.0 e 2.0 CD 8V,Dezembro/2019,Vectra
2440,1225,23,004069-0,Vectra GSi 2.0 16V (modelo antigo),,,1225.0,23.0,Vectra GSi 2.0 16V (Modelo antigo),Dezembro/2019,Vectra
2441,4433,23,004344-3,Vectra GT 2.0 MPFI 8V FlexPower Aut.,,,4433.0,23.0,Vectra GT 2.0 MPFI 8V FlexPower Aut.,Dezembro/2019,Vectra
2442,4434,23,004343-5,Vectra GT 2.0 MPFI 8V FlexPower Mec.,,,4434.0,23.0,Vectra GT 2.0 MPFI 8V FlexPower Mec.,Dezembro/2019,Vectra
2443,4435,23,004346-0,Vectra GT-X 2.0 MPFI 8V FlexPower Aut.,,,4435.0,23.0,Vectra GT-X 2.0 MPFI 8V FlexPower Aut.,Dezembro/2019,Vectra
2444,4436,23,004345-1,Vectra GT-X 2.0 MPFI 8V FlexPower Mec.,,,4436.0,23.0,Vectra GT-X 2.0 MPFI 8V FlexPower Mec.,Dezembro/2019,Vectra
2445,1226,23,004070-3,Veraneio S / Luxe 4.1,,,1226.0,23.0,Veraneio S / Luxe 4.1,Dezembro/2019,Veraneio
2446,1227,23,004071-1,Veraneio S/ Luxe 4.0 Dies./TB Dies.,,,1227.0,23.0,Veraneio S/ Luxe 4.0 Dies./TB Dies.,Dezembro/2019,Veraneio
2447,1228,23,004211-0,Zafira 2.0/ CD 2.0  8V  MPFI 5p Mec.,,,1228.0,23.0,Zafira 2.0/ CD 2.0  8V  MPFI 5p Mec.,Dezembro/2019,Zafira
2448,1229,23,004212-9,Zafira 2.0/ CD 2.0 16V  MPFI 5p,,,1229.0,23.0,Zafira 2.0/ CD 2.0 16V  MPFI 5p,Dezembro/2019,Zafira
2449,1230,23,004222-6,Zafira 2.0/ CD 2.0 8V MPFI 5p Aut.,,,1230.0,23.0,Zafira 2.0/ CD 2.0 8V MPFI 5p Aut.,Dezembro/2019,Zafira
2450,6065,23,004409-1,Zafira COLLECTION 2.0 FlexPower 8V Aut.,,,6065.0,23.0,Zafira COLLECTION 2.0 FlexPower 8V Aut.,Dezembro/2019,Zafira
2451,1231,23,004245-5,Zafira Comfort 2.0 MPFI FlexPower 8V 5p,,,1231.0,23.0,Zafira Comfort 2.0 MPFI FlexPower 8V 5p,Dezembro/2019,Zafira
2452,1232,23,004247-1,Zafira Eleg.2.0 MPFI FlexPower 8V 5p Aut,,,1232.0,23.0,Zafira Eleg.2.0 MPFI FlexPower 8V 5p Aut,Dezembro/2019,Zafira
2453,1233,23,004250-1,Zafira Elegance 2.0 MPFI 16v 136cv 5p,,,1233.0,23.0,Zafira Elegance 2.0 MPFI 16v 136cv 5p,Dezembro/2019,Zafira
2454,1234,23,004246-3,Zafira Elegance 2.0 MPFI FlexPower 8V 5p,,,1234.0,23.0,Zafira Elegance 2.0 MPFI FlexPower 8V 5p,Dezembro/2019,Zafira
2455,1235,23,004251-0,Zafira Elite 2.0 MPFI 16v 136cv 5p,,,1235.0,23.0,Zafira Elite 2.0 MPFI 16v 136cv 5p,Dezembro/2019,Zafira
2456,1236,23,004249-8,Zafira Elite 2.0 MPFI FlexPower 8V  Aut,,,1236.0,23.0,Zafira Elite 2.0 MPFI FlexPower 8V  Aut,Dezembro/2019,Zafira
2457,1237,23,004248-0,Zafira Elite 2.0 MPFI FlexPower 8V 5p,,,1237.0,23.0,Zafira Elite 2.0 MPFI FlexPower 8V 5p,Dezembro/2019,Zafira
2458,4259,23,004335-4,Zafira Expres. 2.0 MPFI FlexPower 5p Aut,,,4259.0,23.0,Zafira Expres. 2.0 MPFI FlexPower 5p Aut,Dezembro/2019,Zafira
2459,4791,153,069002-3,HOVER CUV 2.4 16V 4WD 5p Mec.,,,4791.0,153.0,HOVER CUV 2.4 16V 4WD 5p Mec.,Dezembro/2019,HOVER
2460,4792,153,069001-5,HOVER CUV 2.4 16V 5p Mec.,,,4792.0,153.0,HOVER CUV 2.4 16V 5p Mec.,Dezembro/2019,HOVER
2461,1238,24,045003-0,BR-800 (todos)/Supermini,,,1238.0,24.0,BR-800 (todos)/Supermini,Dezembro/2019,BR-800
2462,1239,24,045002-2,Carajas Diesel,,,1239.0,24.0,Carajas Diesel,Dezembro/2019,Carajas
2463,1240,24,045001-4,Carajas/Tocantis/Xavante/Vip,,,1240.0,24.0,Carajas/Tocantis/Xavante/Vip,Dezembro/2019,Carajas
2464,4771,152,068002-8,Towner Furgão 1.0 8V 48cv 5p,,,4771.0,152.0,Towner Furgão 1.0 8V 48cv 5p,Dezembro/2019,Towner
2465,5277,152,068005-2,Towner Jr. Pick-up 1.0 8V 48cv  CD 4p,,,5277.0,152.0,Towner Jr. Pick-up 1.0 8V 48cv  CD 4p,Dezembro/2019,Towner
2466,5278,152,068004-4,Towner Jr. Pick-up 1.0 8V 48cv  CS 2p,,,5278.0,152.0,Towner Jr. Pick-up 1.0 8V 48cv  CS 2p,Dezembro/2019,Towner
2467,5396,152,068007-9,Towner Jr. Pick-up Baú 1.0 8V 48cv 2p,,,5396.0,152.0,Towner Jr. Pick-up Baú 1.0 8V 48cv 2p,Dezembro/2019,Towner
2468,5592,152,068008-7,Towner Jr. Pick-up Baú 1.0 8V 48cv CD 4p,,,5592.0,152.0,Towner Jr. Pick-up Baú 1.0 8V 48cv CD 4p,Dezembro/2019,Towner
2469,4772,152,068001-0,Towner Passageiro 1.0 8V 48cv 7L 5p,,,4772.0,152.0,Towner Passageiro 1.0 8V 48cv 7L 5p,Dezembro/2019,Towner
2470,4773,152,068003-6,Towner Pick-Up 1.0 8V 48cv 2p,,,4773.0,152.0,Towner Pick-Up 1.0 8V 48cv 2p,Dezembro/2019,Towner
2471,5397,152,068006-0,Towner Pick-Up Baú 1.0 8V 48cv 2p,,,5397.0,152.0,Towner Pick-Up Baú 1.0 8V 48cv 2p,Dezembro/2019,Towner
2472,8843,214,091006-6,e.co Cargo 10kW (Elétrico),,,8843.0,214.0,e.co Cargo 10kW (Elétrico),Dezembro/2019,E.Co Cargo
2473,8844,214,091004-0,"e.co Cargo 7,5kW (Elétrico)",,,8844.0,214.0,"e.co Cargo 7,5kW (Elétrico)",Dezembro/2019,E.Co Cargo
2474,8845,214,091001-5,e.co Tech2 6kW (Elétrico),,,8845.0,214.0,e.co Tech2 6kW (Elétrico),Dezembro/2019,E.Co Tech
2475,8846,214,091002-3,e.co Tech4 6kW (Elétrico),,,8846.0,214.0,e.co Tech4 6kW (Elétrico),Dezembro/2019,E.Co Tech
2476,8847,214,091005-8,e.co Truck 10kW (Elétrico),,,8847.0,214.0,e.co Truck 10kW (Elétrico),Dezembro/2019,E.Co Truck
2477,8848,214,091003-1,"e.co Truck 7,5kW (Elétrico)",,,8848.0,214.0,"e.co Truck 7,5kW (Elétrico)",Dezembro/2019,E.Co Truck
2478,1241,25,014001-5,Accord Coupe EX,,,1241.0,25.0,Accord Coupe EX,Dezembro/2019,Accord
2479,5211,25,014066-0,Accord Sedan EX 2.0 16V 156cv Aut.,,,5211.0,25.0,Accord Sedan EX 2.0 16V 156cv Aut.,Dezembro/2019,Accord
2480,1242,25,014014-7,Accord Sedan EX 2.4/2.3/ 2.2 16V,,,1242.0,25.0,Accord Sedan EX 2.4/2.3/ 2.2 16V,Dezembro/2019,Accord
2481,1243,25,014023-6,Accord Sedan EX 2.7/3.0 24V,,,1243.0,25.0,Accord Sedan EX 2.7/3.0 24V,Dezembro/2019,Accord
2482,4641,25,014055-4,Accord Sedan EX 3.5 V6 24V,,,4641.0,25.0,Accord Sedan EX 3.5 V6 24V,Dezembro/2019,Accord
2483,1244,25,014015-5,Accord Sedan EXR,,,1244.0,25.0,Accord Sedan EXR,Dezembro/2019,Accord
2484,1245,25,014002-3,Accord Sedan LX  2.2/2.4 16V,,,1245.0,25.0,Accord Sedan LX  2.2/2.4 16V,Dezembro/2019,Accord
